epoch,train_loss,ewc_penalty,val_accuracy,val_macro_f1,lr_g3,lr_head
1,0.17196085836206162,,0.8921568627450981,0.8855746509745377,5e-05,0.0002
2,0.1766104150031294,,0.9019607843137255,0.8969003369924259,5e-05,0.0002
3,0.21776030957698822,,0.8725490196078431,0.8673857496338939,5e-05,0.0002
4,0.20402407539742334,,0.8333333333333334,0.8252347092683227,5e-05,0.0002
5,0.15420851271067346,,0.8431372549019608,0.8349536178107607,5e-05,0.0002
6,0.20153827486293657,,0.8725490196078431,0.8629193012538849,2.5e-05,0.0001
7,0.2340836599469185,,0.8725490196078431,0.8629193012538849,2.5e-05,0.0001
8,0.15078699588775635,,0.8627450980392157,0.8494573643410852,2.5e-05,0.0001
9,0.14003305350031173,,0.8823529411764706,0.8742037411526795,2.5e-05,0.0001
10,0.12584292995078222,,0.9019607843137255,0.8979393307710681,2.5e-05,0.0001
11,0.1349661988871438,,0.8921568627450981,0.8865879654555086,2.5e-05,0.0001
12,0.1518992201558181,,0.8921568627450981,0.8865879654555086,2.5e-05,0.0001
